,CF,SF,lat,lon,geo_size
1445,Ralls County,Missouri,39.502635,-91.54048290539518,0.034159206092499894
1446,Ramsey County,Minnesota,48.2294295,-98.7462391368008,0.0007629855739999795
1447,Randall County,Texas,34.963986000000006,-101.89671474775808,0.0005763161025000168
1448,Randolph County,Illinois,38.753468,-79.82712140162337,0.003079825171999865
1449,Rankin County,Mississippi,32.3203505,-89.94147984854933,0.00015129798200002687
1450,Ransom County,North Dakota,46.4563675,-97.65718595283252,0.09055242768850011
1451,Rapides Parish,Louisiana,31.2032965,-92.53120699247583,0.04158193783550017
1452,Rappahannock County,Virginia,38.69289,-78.12877412066277,0.027674739736499934
1453,Ravalli County,Montana,46.060251,-114.13324892114093,0.022247650484000164
1454,Rawlins County,Kansas,39.785439,-101.07537616272577,0.291263813310501
1455,Ray County,Missouri,39.33063,-93.98550171076897,0.040348878024500046
1456,Reagan County,Texas,31.3649665,-101.52303574130768,0.28874973883500027
1457,Real County,Texas,29.852898,-99.81264255216682,0.16924965188150048
1458,Red Lake County,Minnesota,47.862472499999996,-96.09574994721211,0.04454954930650021
1459,Red River County,Texas,33.6398225,-95.02827093439561,0.07793995429099983
1460,Red River Parish,Louisiana,32.062427,-93.31978152129548,0.08903379379000069
1461,Red Willow County,Nebraska,40.177023,-100.47782904803749,0.18744616394849997
1462,Redwood County,Minnesota,44.448541000000006,-95.22980740619285,0.08732717248549987
1463,Reeves County,Texas,31.383225,-103.64853722680432,0.0006804050424999808
1464,Refugio County,Texas,28.307715,-97.15396909234991,0.15057722620450037
1465,Reno County,Kansas,37.951896000000005,-98.08708910622946,0.057884757957000044
1466,Rensselaer County,New York,42.711287999999996,-73.49036179633731,0.0035447288785000813
1467,Renville County,Minnesota,44.674213,-94.96988682989348,0.06187502915099976
1468,Republic County,Kansas,39.8277995,-97.65104952257762,0.09018387452699995
1469,Reynolds County,Missouri,37.327103,-90.96345558570127,0.11831659665149964
1470,Rhea County,Tennessee,35.617365,-84.91471313435434,0.01205371158949999
1471,Rice County,Minnesota,38.338893999999996,-98.20226180974527,0.042855981225000325
1472,Rich County,Utah,41.573049,-111.2382009493922,0.3040241700230003
1473,Richardson County,Nebraska,40.13095199999999,-95.71463928160125,0.012374209263999876
1474,Richland County,Ohio,47.751103,-104.63913135303216,0.001026953264000039
1475,Richland Parish,Louisiana,32.4094855,-91.7338768292357,0.005383655416999894
1476,Richmond County,New York,34.9943315,-79.72780176448519,3.231364849999979e-05
1477,Richmond city,Virginia,37.524277,-77.46085841273114,0.0004261007554999475
1478,Riley County,Kansas,39.3049185,-96.80105976425011,0.09094527017649975
1479,Rincón Municipio,Puerto Rico,18.335774,-67.26291742729188,0.0004168519050000351
1480,Ringgold County,Iowa,40.7354615,-94.2434289289045,0.05533405314800036
1481,Rio Arriba County,New Mexico,36.46531,-106.78247236788107,0.0006790333014999816
1482,Rio Blanco County,Colorado,39.9374915,-108.18479633886255,0.3358886975429993
1483,Rio Grande County,Colorado,37.61743,-106.37525705559318,0.004545158730999968
1484,Ripley County,Missouri,36.661023,-90.85746027684786,0.07892146162400002
1485,Ritchie County,West Virginia,39.1985005,-81.08375260084331,0.06675248340100005
1486,Riverside County,California,33.7527135,-116.02029778765555,0.00026195665450000447
1487,Roane County,West Virginia,35.846662,-84.54547341839134,0.04392281437850015
1488,Roanoke County,Virginia,37.2651645,-80.15046133554577,0.004210916170999994
1489,Roanoke city,Virginia,37.274531999999994,-79.96020947553839,0.0003601146230000166
1490,Roberts County,South Dakota,35.838026,-100.81353301913637,0.11499273335350012
1491,Robertson County,Kentucky,31.0267925,-96.51292515729072,0.026779977238499918
1492,Robeson County,North Carolina,34.626467,-79.14290268929017,0.006933779755999997
1493,Rock County,Minnesota,42.6687085,-89.07199549374107,0.09023585005300014
1494,Rock Island County,Illinois,41.554692,-90.30368415866617,0.0001804215410000083
1495,Rockbridge County,Virginia,37.809476000000004,-79.44105328143797,0.03418335363299996
1496,Rockcastle County,Kentucky,37.346271,-84.31517658994946,0.027987013166500145
1497,Rockdale County,Georgia,33.655985,-84.01195519457013,0.0015117195759999686
1498,Rockingham County,New Hampshire,43.006388,-71.02355299674778,0.001337623678500018
1499,Rockland County,New York,41.1612945,-74.05738032475186,5.1109249499993224e-05
1500,Rockwall County,Texas,32.897756,-96.40767660438686,0.005908423637000168
1501,Roger Mills County,Oklahoma,35.7175485,-99.68853849999999,0.2956473213144993
1502,Rogers County,Oklahoma,36.3364,-95.62386000000001,0.018412360646499697
1503,Rolette County,North Dakota,48.772043,-99.8543935463982,0.022794675770500032
1504,Rooks County,Kansas,39.349305,-99.3250511029345,0.1492157289460004
1505,Roosevelt County,New Mexico,48.279988,-104.9254607368421,0.000762253944499928
1506,Roscommon County,Michigan,44.3358425,-84.61193901319703,0.017757105584999926
1507,Roseau County,Minnesota,48.768184500000004,-95.74762990770516,0.17128079800600118
1508,Rosebud County,Montana,46.018545,-106.56526831444867,0.11379733620250011
1509,Ross County,Ohio,39.342102999999994,-83.06503184457515,0.03861169919199999
1510,Routt County,Colorado,40.4614485,-107.04337922470818,0.15909395850500035
1511,Rowan County,Kentucky,35.683152,-80.55073417391304,0.025031731924500023
1512,Runnels County,Texas,31.830840000000002,-99.97670691279109,0.0009583323955000058
1513,Rush County,Kansas,38.523219,-99.30958510067583,0.16579505064999975
1514,Rusk County,Texas,45.465621,-91.10925279199742,0.029228370697000006
1515,Russell County,Kentucky,38.915129,-98.76226191415313,0.009815019047999885
1516,Rutherford County,North Carolina,35.859440500000005,-86.39198790324964,0.04344944548049989
1517,Rutland County,Vermont,43.574919,-73.02843804231796,0.011626090580000106
1518,Río Grande Municipio,Puerto Rico,18.3749735,-65.81660851032888,0.00033152779149998396
1519,Sabana Grande Municipio,Puerto Rico,18.087296000000002,-66.94987811072423,0.0046238832025000285
1520,Sabine County,Texas,31.373127500000002,-93.84607680442986,0.06450099197600025
1521,Sabine Parish,Louisiana,31.505414000000002,-93.47792091130762,0.03975630930250022
1522,Sac County,Iowa,42.3853665,-95.08992464308346,0.07200026324100021
1523,Sacramento County,California,38.377481,-121.27568956238274,0.00041409977050001846
1524,Sagadahoc County,Maine,43.9022025,-69.80483079679323,0.01802042208849977
1525,Saginaw County,Michigan,43.3486775,-84.03394364935065,0.02091394534950004
1526,Saguache County,Colorado,38.1029675,-106.33158191330624,0.7405443256795005
1527,Salem County,New Jersey,39.571312500000005,-75.2889509991298,0.0032765937260000396
1528,Salem city,Virginia,37.2884885,-80.07016497237741,0.0009587480940000148
1529,Salinas Municipio,Puerto Rico,17.979139,-66.2720785,0.007026996165000195
1530,Saline County,Illinois,39.1706235,-93.19291919552782,0.0004686066569999751
1531,Salt Lake County,Utah,40.6682305,-111.9030702092223,0.00031958812350000183
1532,Saluda County,South Carolina,34.0011025,-81.74677584471138,0.014247327009499955
1533,Sampson County,North Carolina,34.9345565,-78.36152543642434,0.029978918667000046
1534,San Augustine County,Texas,31.37628,-94.17465455707253,0.003312719487499943
1535,San Benito County,California,36.5928035,-121.02959143089005,0.0008750098100000286
1536,San Bernardino County,California,34.839914,-116.11140806546882,0.00021916872199994664
1537,San Diego County,California,33.0164095,-116.73048450045998,0.00013082047449997796
1538,San Francisco County,California,37.7291735,-123.04664112024903,3.788479650000945e-05
1539,San Germán Municipio,Puerto Rico,18.113287,-67.0296704109536,0.003973437020499974
1540,San Jacinto County,Texas,30.612220999999998,-95.17823564519651,0.024443534941500086
1541,San Joaquin County,California,37.891053,-121.247929,0.0002019529724999804
1542,San Juan County,Washington,36.500193499999995,-108.33550443057183,0.029737422882500367
1543,San Juan Municipio,Puerto Rico,18.410487500000002,-66.04942704494383,4.178246300001052e-05
1544,San Lorenzo Municipio,Puerto Rico,18.152420499999998,-65.97554566291026,0.0008499442249999925
1545,San Luis Obispo County,California,35.347698,-120.36649858708941,0.0010370873544998929
1546,San Mateo County,California,37.3812465,-122.33902992160709,0.0002772789725000181
1547,San Miguel County,New Mexico,35.457558000000006,-104.73296823094205,0.0012748616929999952
1548,San Patricio County,Texas,28.000138,-97.50159672189943,0.0007959045385000111
1549,San Saba County,Texas,31.2052075,-98.83049311463225,0.2761657168870001
1550,San Sebastián Municipio,Puerto Rico,18.3235885,-66.972818796875,0.0018162423400000095
1551,Sanborn County,South Dakota,44.022845000000004,-98.09127807260506,0.1658576244005001
1552,Sanders County,Montana,47.69222499999999,-115.15403584659546,0.22339092719299988
1553,Sandoval County,New Mexico,35.7086775,-106.77860520598696,0.0009245175359999806
1554,Sandusky County,Ohio,41.3762885,-83.13088362013401,0.0018716470469999657
1555,Sangamon County,Illinois,39.749388499999995,-89.70522856043802,0.00012714753350002373
1556,Sanilac County,Michigan,43.424295,-82.65685480229949,0.1782979609624997
1557,Sanpete County,Utah,39.423164,-111.52417699157425,0.06653844939450022
